StartDate,EndDate,IPAddress,Progress,Duration (in seconds),LocationLatitude,LocationLongitude,Q1,Q2,Q3,Q4,SC0,bonus,perturb1,perturb2,perturb3,pg1score
9/3/20 17:53,9/3/20 17:53,73.206.58.124,100,25,29.64300537,-95.64430237,5,2,2,2,1,7,2,1,1,29
9/3/20 17:53,9/3/20 17:53,71.225.12.64,100,33,39.9197998,-75.39900208,4,2,3,2,1,5,1,1,2,29
9/3/20 17:53,9/3/20 17:53,99.159.102.37,100,20,35.23449707,-89.85019684,6,4,5,1,1,87,2,2,2,49
9/3/20 17:53,9/3/20 17:53,67.11.196.172,100,20,29.65840149,-98.498703,3,2,5,1,1,36,1,1,2,29
9/3/20 17:53,9/3/20 17:53,162.238.46.0,100,23,30.30070496,-81.44210052,3,4,5,1,1,36,2,1,1,49
9/3/20 17:53,9/3/20 17:53,12.7.47.218,100,22,32.88259888,-88.8289032,4,2,6,1,1,34,2,1,1,29
9/3/20 17:53,9/3/20 17:53,173.248.158.200,100,35,37.75100708,-97.8219986,5,2,5,1,1,76,1,2,2,29
9/3/20 17:53,9/3/20 17:54,184.101.49.197,100,20,33.31210327,-111.8212967,1,1,5,1,1,23,1,1,1,21
9/3/20 17:53,9/3/20 17:54,173.90.92.213,100,21,40.63470459,-81.4464035,1,3,2,2,1,34,1,2,1,39
9/3/20 17:53,9/3/20 17:54,71.95.102.178,100,67,45.59989929,-121.1871033,5,5,6,1,1,34,1,1,1,59
9/3/20 17:53,9/3/20 17:54,64.130.155.103,100,22,36.77229309,-85.81950378,4,5,5,1,1,39,2,1,1,59
9/3/20 17:53,9/3/20 17:54,72.181.54.232,100,42,26.05389404,-97.3125,3,5,7,1,1,49,2,1,1,59
9/3/20 17:53,9/3/20 17:54,99.109.250.242,100,41,42.8934021,-85.76139832,9,6,6,1,1,92,1,2,2,69
9/3/20 17:53,9/3/20 17:54,50.27.10.252,100,26,33.59030151,-101.9371033,5,2,6,1,1,29,1,1,1,29
9/3/20 17:54,9/3/20 17:54,72.217.17.167,100,36,32.21299744,-110.8279037,4,3,5,1,1,84,2,2,2,39
9/3/20 17:54,9/3/20 17:54,174.253.192.243,100,31,47.60319519,-122.3412018,2,5,2,1,1,29,2,1,1,59
9/3/20 17:54,9/3/20 17:54,76.23.76.25,100,29,36.3125,-82.3769989,2,2,2,1,1,26,1,1,2,29
9/3/20 17:54,9/3/20 17:54,205.201.80.56,100,18,35.99040222,-77.84680176,7,2,6,1,1,78,2,2,1,29
9/3/20 17:54,9/3/20 17:54,99.159.102.37,100,28,35.23449707,-89.85019684,6,4,5,1,1,75,2,2,1,49
9/3/20 17:54,9/3/20 17:54,66.169.111.9,100,29,32.78219604,-97.49690247,3,6,5,1,1,43,1,1,2,69
9/3/20 17:53,9/3/20 17:54,98.116.223.148,100,70,40.72439575,-73.64839935,8,3,3,1,1,30,1,1,2,39
9/3/20 17:54,9/3/20 17:55,98.167.77.171,100,21,36.13789368,-115.3212967,5,2,5,1,1,41,2,1,2,29
9/3/20 17:54,9/3/20 17:55,71.69.245.95,100,53,36.33309937,-78.40660095,6,4,6,1,1,77,1,2,1,49
9/3/20 17:54,9/3/20 17:55,73.45.102.63,100,21,41.69630432,-87.6576004,3,3,7,1,1,85,1,2,1,39
9/3/20 17:55,9/3/20 17:55,98.11.132.106,100,18,44.10360718,-69.36660004,4,2,3,1,1,17,1,1,1,29
9/3/20 17:55,9/3/20 17:55,162.205.1.98,100,26,38.0617981,-122.5404053,9,5,5,1,1,81,1,2,2,59
9/3/20 17:54,9/3/20 17:55,73.191.17.35,100,57,39.38879395,-76.49880219,2,2,3,2,1,10,2,1,1,29
9/3/20 17:55,9/3/20 17:55,24.96.234.72,100,19,27.97850037,-82.78269958,9,4,5,1,1,39,1,1,2,49
9/3/20 17:55,9/3/20 17:55,73.14.250.236,100,23,39.67959595,-104.9626007,9,3,5,1,1,44,2,1,2,39
9/3/20 17:55,9/3/20 17:55,75.81.41.36,100,22,38.99440002,-94.6733017,3,3,5,1,1,77,1,2,2,39
9/3/20 17:55,9/3/20 17:55,107.192.116.135,100,32,39.12519836,-121.658905,5,2,5,1,1,80,2,2,2,29
9/3/20 17:55,9/3/20 17:56,74.141.64.83,100,40,41.92260742,-79.65670013,2,4,5,1,1,36,2,1,1,49
9/3/20 17:55,9/3/20 17:56,104.153.231.113,100,21,41.89199829,-87.64160156,6,1,5,2,1,54,2,2,1,21
9/3/20 17:55,9/3/20 17:56,24.49.208.119,100,33,34.61959839,-98.45429993,8,5,5,1,1,51,2,1,2,59
9/3/20 17:55,9/3/20 17:56,172.242.117.46,100,44,31.53509521,-96.52220154,5,2,2,1,1,44,1,2,1,29
9/3/20 17:55,9/3/20 17:56,107.174.136.215,100,39,34.05439758,-118.2440033,6,3,4,1,1,74,2,2,2,39
9/3/20 17:55,9/3/20 17:56,99.50.207.106,100,52,32.99369812,-117.2597961,2,3,7,1,1,42,2,1,1,39
9/3/20 17:56,9/3/20 17:56,74.66.218.105,100,31,40.75840759,-73.79730225,8,2,5,1,1,80,2,2,2,29
9/3/20 17:56,9/3/20 17:56,98.204.217.39,100,22,39.28120422,-76.74060059,6,3,5,1,1,32,2,1,1,39
9/3/20 17:56,9/3/20 17:56,24.197.250.197,100,31,43.80130005,-91.21340179,1,3,2,2,1,4,1,1,2,39
9/3/20 17:55,9/3/20 17:56,73.45.19.200,100,59,41.55479431,-87.65930176,1,2,5,1,1,24,1,1,1,29
9/3/20 17:56,9/3/20 17:56,71.105.123.22,100,36,40.70350647,-73.92350006,12,2,5,1,1,80,2,2,2,29
9/3/20 17:56,9/3/20 17:56,73.237.83.70,100,26,33.69340515,-84.44799805,3,3,2,1,1,58,1,2,2,39
9/3/20 17:56,9/3/20 17:56,172.58.236.29,100,35,40.80220032,-74.19139862,6,6,5,1,1,43,1,1,2,69
9/3/20 17:52,9/3/20 17:56,104.14.242.120,100,247,39.86549377,-86.12200165,4,3,5,1,1,65,1,2,1,39
9/3/20 17:56,9/3/20 17:56,72.198.205.12,100,19,41.28840637,-95.99720001,1,2,5,2,1,12,1,1,1,29
9/3/20 17:55,9/3/20 17:56,73.35.49.80,100,65,30.44999695,-81.66239929,5,3,5,1,1,38,1,1,2,39
9/3/20 17:56,9/3/20 17:56,198.228.83.73,100,34,37.75100708,-97.8219986,4,2,5,1,1,76,1,2,2,29
9/3/20 17:56,9/3/20 17:57,174.67.153.119,100,43,36.1289978,-115.2764969,6,2,7,1,1,88,2,2,1,29
9/3/20 17:56,9/3/20 17:57,72.76.190.4,100,47,40.84919739,-73.97350311,7,3,6,2,1,19,1,1,2,39
9/3/20 17:54,9/3/20 17:57,69.140.125.162,100,143,38.84280396,-77.08999634,8,2,7,1,1,39,2,1,1,29
9/3/20 17:56,9/3/20 17:57,107.174.136.215,100,26,34.05439758,-118.2440033,6,3,4,2,1,43,1,2,1,39
9/3/20 17:56,9/3/20 17:57,208.104.49.88,100,53,34.9671936,-81.04910278,1,2,2,1,1,61,2,2,2,29
9/3/20 17:56,9/3/20 17:57,35.138.65.244,100,17,28.0164032,-81.95539856,7,2,5,1,1,24,1,1,1,29
9/3/20 17:56,9/3/20 17:57,66.91.49.194,100,23,21.39079285,-157.933197,1,2,4,2,1,47,2,2,2,29
9/3/20 17:57,9/3/20 17:57,172.242.117.46,100,18,31.53509521,-96.52220154,4,2,2,1,1,61,2,2,2,29
9/3/20 17:57,9/3/20 17:57,68.5.38.163,100,11,33.70150757,-117.7528,8,2,5,1,1,76,1,2,2,29
9/3/20 17:57,9/3/20 17:57,24.243.71.197,100,26,29.63209534,-98.7542038,5,2,5,1,1,36,1,1,2,29
9/3/20 17:56,9/3/20 17:57,99.174.85.51,100,46,33.51460266,-83.86260223,10,6,6,1,1,59,2,1,2,69
9/3/20 17:57,9/3/20 17:57,73.26.37.58,100,32,35.07060242,-106.5065994,2,6,6,1,1,92,2,2,1,69
9/3/20 17:57,9/3/20 17:58,67.181.44.232,100,32,38.76800537,-121.3348999,6,2,7,1,1,34,1,1,1,29
9/3/20 17:57,9/3/20 17:58,97.100.17.63,100,55,28.30560303,-81.41970062,6,3,4,1,1,21,1,1,1,39
9/3/20 17:57,9/3/20 17:58,45.20.200.110,100,24,34.07969666,-83.93280029,5,4,5,1,1,67,1,2,1,49
9/3/20 17:57,9/3/20 17:58,98.18.217.153,100,27,31.49960327,-82.8470993,1,2,3,1,1,29,1,1,2,29
9/3/20 17:58,9/3/20 17:58,67.191.222.87,100,7,33.78379822,-84.44550323,5,5,3,1,1,66,1,2,2,59
9/3/20 17:57,9/3/20 17:58,162.234.26.222,100,35,33.02490234,-84.95770264,5,1,4,1,1,21,2,1,1,21
9/3/20 17:57,9/3/20 17:58,73.123.35.54,100,39,42.53010559,-71.75530243,3,4,5,1,1,36,2,1,1,49
9/3/20 17:57,9/3/20 17:58,24.205.145.168,100,47,34.09150696,-118.1306992,8,2,6,1,1,29,1,1,1,29
9/3/20 17:58,9/3/20 17:58,173.67.243.183,100,30,37.66529846,-77.53639984,7,3,6,1,1,31,1,1,1,39
9/3/20 17:58,9/3/20 17:58,216.176.152.250,100,18,41.47059631,-87.07830048,5,4,5,1,1,75,2,2,1,49
9/3/20 17:58,9/3/20 17:58,76.209.127.240,100,19,32.81790161,-96.63189697,7,3,3,1,1,37,2,1,2,39
9/3/20 17:58,9/3/20 17:59,47.133.39.140,100,30,34.86109924,-77.58850098,5,2,5,1,1,80,2,2,2,29
9/3/20 17:58,9/3/20 17:59,76.209.100.118,100,60,33.91349792,-84.68589783,4,4,5,1,1,75,2,2,1,49
9/3/20 17:58,9/3/20 17:59,172.242.117.46,100,19,31.53509521,-96.52220154,4,2,2,1,1,44,1,2,1,29
9/3/20 17:58,9/3/20 17:59,198.228.133.213,100,24,45.48170471,-122.4156036,11,2,5,1,1,76,1,2,2,29
9/3/20 17:58,9/3/20 17:59,71.89.247.71,100,32,39.38090515,-119.6858978,6,4,5,1,1,79,1,2,2,49
9/3/20 17:59,9/3/20 17:59,24.6.99.253,100,25,37.51359558,-122.2915955,6,2,5,1,1,29,2,1,1,29
9/3/20 17:59,9/3/20 17:59,70.113.8.219,100,18,30.42399597,-97.79319763,7,1,5,1,1,38,2,1,2,21
9/3/20 17:59,9/3/20 18:00,174.240.11.22,100,40,29.75019836,-95.47100067,4,3,3,1,1,30,1,1,2,39
9/3/20 17:59,9/3/20 18:00,172.77.247.197,100,40,39.18780518,-78.72740173,3,3,3,2,1,45,2,2,2,39
9/3/20 18:00,9/3/20 18:00,98.115.144.214,100,23,40.26730347,-74.94869995,12,4,7,1,1,99,1,2,2,49
9/3/20 17:59,9/3/20 18:00,24.22.249.250,100,43,47.72290039,-122.1960983,11,2,5,1,1,36,1,1,2,29
9/3/20 18:00,9/3/20 18:00,108.28.55.88,100,24,38.82629395,-77.21109772,3,2,7,1,1,95,1,2,2,29
9/3/20 18:00,9/3/20 18:00,172.251.164.7,100,22,34.17649841,-118.6139984,12,4,5,1,1,48,2,1,2,49
9/3/20 18:00,9/3/20 18:00,72.92.48.152,100,17,40.18089294,-75.21559906,2,2,4,1,1,54,1,2,1,29
9/3/20 18:00,9/3/20 18:01,71.77.232.239,100,47,34.32080078,-78.71450043,5,5,7,1,1,98,2,2,1,59
9/3/20 17:59,9/3/20 18:01,68.35.30.221,100,87,34.91859436,-87.61360168,5,1,5,1,1,35,1,1,2,21
9/3/20 18:01,9/3/20 18:01,216.250.251.134,100,16,37.75100708,-97.8219986,10,1,5,1,1,66,2,2,1,21
9/3/20 18:00,9/3/20 18:01,173.217.117.56,100,30,31.75779724,-93.09079742,1,1,4,1,1,52,1,2,1,21
9/3/20 18:01,9/3/20 18:01,98.187.54.96,100,19,39.01759338,-95.74310303,2,2,5,1,1,29,2,1,1,29
9/3/20 17:59,9/3/20 18:02,68.224.138.77,100,136,36.09069824,-115.0886002,3,5,7,1,1,49,2,1,1,59
9/3/20 18:01,9/3/20 18:02,73.240.204.110,100,49,45.31019592,-122.9669952,1,2,5,2,1,56,2,2,2,29
9/3/20 18:02,9/3/20 18:02,50.106.226.106,100,17,40.44239807,-89.06690216,12,4,6,1,1,89,1,2,2,49
