Duration (in seconds),Q1,Q2,Q3,Q4,bonus,perturb1,perturb2,perturb3
22,7,4,3,1,24,1,1,2
25,6,2,6,1,33,1,1,2
43,5,2,5,1,76,2,2,2
19,2,2,4,1,28,2,1,2
58,4,2,5,1,70,2,2,1
33,11,2,6,1,75,1,2,1
44,3,2,3,2,43,1,2,1
35,6,3,5,1,,2,2,1
47,6,3,3,1,63,2,2,2
47,6,3,3,1,56,1,2,2
26,3,5,5,2,64,1,2,1
16,4,2,4,1,28,2,1,2
27,3,1,5,1,21,1,1,1
106,2,4,5,1,82,2,2,2
25,4,2,5,1,64,1,2,1
17,6,1,5,1,73,2,2,2
97,7,3,5,1,79,2,2,2
26,10,6,2,1,68,2,2,2
29,4,2,5,1,70,1,2,2
43,3,5,5,1,86,2,2,2
27,12,4,4,1,20,1,1,1
45,2,6,5,1,71,1,2,1
52,6,2,5,1,27,2,1,1
66,8,3,5,1,24,1,1,1
35,4,2,5,1,64,1,2,1
38,8,3,6,1,29,1,1,1
26,2,4,5,1,34,2,1,1
23,1,3,4,2,19,2,1,2
40,6,6,5,1,83,2,2,1
36,2,1,2,2,40,2,2,1
25,11,4,5,1,68,1,2,1
28,4,2,5,1,64,1,2,1
48,3,2,5,1,76,2,2,2
37,6,3,5,1,31,2,1,1
44,3,2,7,1,92,1,2,2
31,8,2,5,1,64,1,2,1
29,6,3,5,1,31,2,1,1
30,7,2,7,1,38,2,1,1
23,3,2,5,1,33,2,1,2
26,3,3,5,1,31,2,1,1
46,11,2,5,1,27,2,1,1
85,10,5,3,1,36,2,1,2
23,3,2,5,1,70,2,2,1
14,4,3,7,1,34,1,1,1
21,5,2,5,1,27,2,1,1
32,7,2,5,1,27,2,1,1
36,12,3,5,1,30,1,1,2
114,5,4,5,2,70,2,2,1
44,8,3,5,1,79,2,2,2
18,6,4,5,1,34,2,1,1
32,7,2,5,1,27,2,1,1
25,3,2,2,2,10,2,1,1
35,1,4,4,1,72,2,2,2
24,3,5,6,1,91,2,2,1
42,8,3,5,1,73,2,2,1
26,8,4,5,1,68,1,2,1
22,5,2,5,1,33,2,1,2
21,11,3,6,1,83,1,2,2
37,3,4,5,1,31,1,1,2
27,7,3,5,1,31,2,1,1
29,7,5,5,1,70,1,2,1
34,5,4,5,1,82,2,2,2
34,6,4,7,1,45,2,1,1
43,5,4,3,1,61,2,2,1
55,5,3,6,1,90,2,2,2
25,4,4,7,1,42,1,1,2
68,2,3,2,2,39,1,2,1
10,7,2,2,1,43,1,2,1
28,9,4,5,1,25,1,1,1
27,4,2,5,1,27,2,1,1
34,11,5,5,1,70,1,2,1
30,5,2,4,2,48,1,2,2
21,8,2,5,1,27,2,1,1
25,11,4,5,1,34,2,1,1
26,5,3,5,1,66,1,2,1
29,7,3,6,1,84,2,2,1
19,3,3,2,2,39,1,2,1
105,7,4,5,1,25,1,1,1
146,4,3,5,1,30,1,1,2
34,4,6,2,1,36,2,1,2
33,8,2,6,1,80,2,2,1
10,3,3,5,1,37,2,1,2
16,5,2,5,2,21,2,1,1
84,4,3,5,1,31,2,1,1
17,6,6,7,1,40,1,1,1
40,5,2,5,1,70,1,2,2
37,4,3,5,1,37,2,1,2
50,3,4,4,1,57,1,2,1
18,6,5,6,1,97,2,2,2
54,5,4,7,1,95,1,2,2
57,2,4,5,2,28,2,1,1
26,10,4,6,1,37,1,1,2
25,1,1,4,2,46,1,2,1
112,2,2,3,1,19,2,1,1
24,8,3,4,1,62,2,2,1
37,4,4,5,1,68,1,2,1
16,4,3,4,1,25,2,1,1
22,2,2,2,1,17,1,1,2
27,2,5,5,1,43,2,1,2
23,10,5,5,1,76,1,2,2
18,6,4,5,1,25,1,1,1
24,10,2,5,1,28,1,1,2
26,5,2,4,1,54,1,2,1
22,6,2,5,1,27,2,1,1
32,8,2,5,1,64,1,2,1
32,7,3,2,1,26,2,1,2
47,5,4,3,1,18,1,1,1
75,6,2,5,1,28,1,1,2
41,3,3,4,1,62,1,2,2
19,8,3,5,1,79,2,2,2
54,1,3,5,1,66,1,2,1
26,6,3,5,1,37,2,1,2
54,6,2,5,1,33,2,1,2
23,10,2,5,1,27,2,1,1
23,2,3,2,1,58,2,2,2
27,2,2,5,1,28,1,1,2
68,9,4,5,1,74,1,2,2
35,5,4,5,1,34,2,1,1
31,9,2,5,1,70,2,2,1
22,5,3,5,1,66,1,2,1
18,3,3,2,1,19,1,1,2
34,8,2,4,1,60,1,2,2
45,5,5,7,1,107,2,2,2
72,5,2,4,1,54,1,2,1
48,1,3,5,2,18,1,1,1
22,8,2,5,1,22,1,1,1
42,3,3,2,2,7,1,1,1
36,10,4,5,1,31,1,1,2
