Q1,Q2,Q3,Q4,SC0,Random ID
9,4,5,1,1,263112
5,2,5,1,1,254193
9,3,4,1,1,991077
2,2,3,1,1,529119
9,4,5,1,1,711894
5,2,5,1,1,856604
9,4,6,1,1,413091
6,2,5,1,1,676773
2,2,5,1,1,948749
5,2,5,1,1,345600
5,1,5,1,1,574199
9,3,5,1,1,314576
6,2,5,1,1,187659
2,3,2,1,1,195066
2,3,6,1,1,298659
8,2,4,1,1,523777
3,5,5,1,1,861252
6,4,5,1,1,614628
10,5,5,1,1,345619
9,6,7,1,1,168313
1,4,5,1,1,455495
5,5,5,1,1,744590
8,2,5,1,1,974170
5,2,7,1,1,392109
5,3,6,1,1,184908
5,4,5,1,1,470177
5,4,7,1,1,797477
5,3,6,1,1,260463
5,3,5,1,1,424735
12,2,5,1,1,261695
12,1,5,1,1,519129
7,3,6,1,1,437264
11,2,6,1,1,752046
3,2,3,1,1,739122
10,2,5,1,1,750854
9,2,7,1,1,363741
1,2,2,1,1,824854
1,2,5,1,1,381103
4,4,4,1,1,325649
4,3,2,1,1,328814
6,1,5,2,1,796875
5,3,6,1,1,738363
9,3,5,1,1,708247
3,3,5,1,1,937542
2,3,2,1,1,398290
5,3,5,1,1,334186
4,2,4,1,1,335218
1,2,3,1,1,827919
3,3,3,1,1,543896
5,4,5,1,1,741510
4,4,5,1,1,971384
6,3,5,1,1,495918
10,3,4,1,1,827926
7,5,2,1,1,319820
5,2,6,1,1,564160
3,5,6,1,1,903755
7,2,7,2,1,540025
7,2,5,1,1,858514
6,2,5,1,1,923686
4,2,6,1,1,929593
10,1,5,1,1,214144
4,3,3,2,1,217644
3,3,3,2,1,354676
10,3,6,1,1,161650
4,3,3,1,1,112166
1,3,5,2,1,513511
1,1,2,2,1,332965
5,3,4,1,1,754978
10,2,6,1,1,677562
7,3,4,1,1,953106
1,1,2,2,1,868450
2,1,5,2,1,277608
3,2,5,1,1,281920
9,1,5,1,1,771746
1,3,5,2,1,102905
7,5,2,1,1,278264
3,3,5,1,1,613618
3,3,2,1,1,417835
6,4,6,1,1,988886
6,3,5,1,1,163010
2,3,3,1,1,330441
1,4,5,1,1,133862
6,3,5,1,1,424746
3,3,6,1,1,166532
1,2,3,2,1,550000
5,2,5,1,1,197563
9,1,5,1,1,835838
5,2,5,1,1,343324
5,5,3,1,1,786195
3,1,4,1,1,472057
10,3,5,1,1,285216
5,2,6,1,1,549473
5,2,5,1,1,397976
6,2,5,1,1,313354
1,4,5,1,1,470191
8,4,5,1,1,554897
8,2,5,1,1,746333
1,2,5,1,1,156383
8,3,5,1,1,298975
6,3,6,1,1,632462
8,3,5,1,1,148205
10,2,5,1,1,217293
7,1,5,1,1,157603
2,4,5,1,1,834939
1,3,1,1,1,273963
2,6,5,1,1,275593
3,2,5,1,1,816179
3,4,3,1,1,299651
1,3,5,1,1,965447
6,2,5,1,1,731926
5,3,5,1,1,926324
6,4,6,1,1,885977
4,2,5,1,1,333294
8,2,5,1,1,539366
2,2,3,1,1,130355
1,3,5,1,1,878318
1,2,5,2,1,120245
6,2,5,1,1,526960
1,1,4,2,1,640861
1,1,2,2,1,694635
4,3,5,1,1,977991
7,3,5,1,1,492083
1,2,5,1,1,940476
4,2,6,1,1,286436
9,2,5,1,1,540448
5,2,5,1,1,895052
2,2,5,1,1,948877
4,3,5,1,1,138373
8,6,6,1,1,330159
4,2,6,1,1,407312
1,3,5,2,1,459692
7,2,5,1,1,828263
5,2,6,1,1,962584
5,1,5,1,1,353524
6,1,2,1,1,859209
5,2,5,1,1,190205
11,3,4,1,1,724413
2,2,4,2,1,777920
11,4,5,1,1,904269
3,3,5,1,1,311559
6,3,2,1,1,603094
3,4,5,1,1,381135
10,3,5,1,1,998084
4,2,4,2,1,423858
8,2,5,1,1,582874
4,2,3,1,1,663766
